"Phylostratum"	"GeneID"	"Zygote"	"Quadrant"	"Globular"	"Heart"	"Torpedo"	"Bent"	"Mature"
1	"at1g01040"	2173.635205	1911.200145	1152.555283	1291.422445	1000.252931	962.977223	1696.427421
1	"at1g01050"	1501.014084	1817.308557	1665.308874	1564.761244	1496.320663	1114.643547	1071.655487
1	"at1g01070"	1212.792724	1233.002267	939.2000456	929.6195012	864.2180087	877.2060012	894.8189171
1	"at1g01080"	1016.920321	936.3837174	1181.338144	1329.473434	1392.642854	1287.97459	861.2604885
1	"at1g01090"	11424.56668	16778.16846	34366.64935	39775.64053	56231.56892	66980.36733	7772.561656
1	"at1g01120"	844.0413821	787.5928851	859.6267328	931.6179798	942.8452686	870.262452	792.754226
1	"at1g01180"	1003.110196	1095.72006	1329.951058	1065.560273	1006.982629	1268.879891	1467.024348
1	"at1g01190"	827.5711059	764.6320946	698.7656371	715.2263533	696.3268389	669.7863948	733.4001494
1	"at1g01200"	903.9973086	802.2732085	765.5864446	796.025717	719.4408714	698.4808665	990.7592656
1	"at1g01210"	2916.069998	4558.355705	2949.6307	2921.460618	2120.653955	1443.755121	1347.761204
1	"at1g01220"	881.1928519	829.0929329	894.6108827	936.4050247	846.2609448	793.6664953	821.6062799
1	"at1g01280"	959.6673257	896.1690529	992.7787611	1016.433125	879.6115185	834.2850365	850.4775704
1	"at1g01290"	2285.826409	1826.637418	2080.702964	2061.713447	1871.290178	1681.680222	1522.761047
1	"at1g01310"	688.1134426	709.9617555	644.7473734	695.5615686	635.0508464	596.0423064	618.813838
1	"at1g01320"	827.2216635	751.1099529	799.0867356	797.734259	740.7836219	756.6157074	778.8728653
1	"at1g01440"	854.8822706	765.0968683	671.7092024	788.402835	710.9093864	682.4514243	708.8919689
1	"at1g01470"	815.918389	805.9603072	927.2453947	912.7987601	819.4061376	1316.085024	17220.65171
1	"at1g01480"	1270.080381	1156.390002	1413.895522	1518.754336	1370.005783	1292.110939	1355.027799
1	"at1g01510"	1689.159407	1809.408508	1763.471134	2000.539621	1923.635282	1846.846409	1853.185389
1	"at1g01580"	783.5552403	779.9293946	952.2677452	983.862355	1011.404172	941.7605023	835.2719374
1	"at1g01590"	875.8926763	908.9014551	891.7038547	903.4848274	880.9962737	840.4380982	910.962058
1	"at1g01620"	5879.892347	4977.186057	11613.34426	7295.211774	17289.6315	11439.76493	8183.60899
1	"at1g01650"	2058.881922	1255.16265	1499.289618	1204.469517	1186.349489	1715.457385	8491.121178
1	"at1g01660"	779.1239952	814.1862055	669.8906902	676.9665958	719.4779207	624.3354828	725.3790182
1	"at1g01670"	972.3180813	904.9416201	816.0965947	844.9880237	760.5945101	707.0620942	886.9997801
1	"at1g01680"	985.5467755	862.4288072	813.0418516	862.9090863	784.1984546	713.2222034	765.300347
1	"at1g01710"	4254.057398	3070.661711	3564.983651	2873.078356	1907.154387	2028.660209	4896.514106
1	"at1g01740"	1097.993442	1105.373076	1148.233164	1116.563612	1012.338386	1022.619093	1033.676615
1	"at1g01770"	792.2802049	771.7754279	755.3945322	761.0335187	651.6014874	628.6296719	639.2974682
1	"at1g01800"	1142.332411	1183.955448	1066.415737	1100.404984	1031.722883	951.8139589	853.277125
1	"at1g01860"	1197.064766	1383.622181	1750.133509	1754.666063	1989.367109	1579.393883	1088.30364
1	"at1g01880"	886.9305497	893.0364918	895.6022118	906.158024	887.2388383	958.8130016	901.2477535
1	"at1g01900"	1038.007298	1082.197858	1169.103049	1107.943381	1038.620629	1110.585982	1198.548127
1	"at1g01910"	6644.138059	6081.018636	5130.440335	5406.83769	5912.745929	6820.958105	10914.0401
1	"at1g01940"	1175.404528	1354.72415	1672.81986	1620.564	1475.824354	1139.39096	1099.39954
1	"at1g01980"	1009.599528	906.6653052	954.3796531	1010.574654	792.7755973	824.8512033	932.0771119
1	"at1g02000"	1058.775012	1267.118243	1155.832951	1285.677017	1245.116133	1002.115089	876.6038404
1	"at1g02020"	782.1485787	803.0517099	792.1170045	808.1850769	778.0036097	805.6454563	757.111025
1	"at1g02050"	1763.485135	1535.764717	1779.293255	1674.35196	1302.027433	1714.217534	1856.713929
9	"at1g02060"	697.8892656	637.2264585	640.0971537	672.9001298	604.6424691	604.4418436	610.1827737
1	"at1g02130"	1016.509573	1147.369934	2175.071151	2037.472961	2031.720578	1790.934399	1438.018953
1	"at1g02170"	814.8657638	735.2398857	828.4696366	813.3484256	789.6245466	808.0779323	786.8502323
1	"at1g02205"	1129.353002	1155.13756	791.5667551	734.7140216	687.7720883	683.8170552	727.9038315
1	"at1g02260"	877.1527191	744.8883012	712.2257639	721.3962701	647.6826758	651.5060041	862.3412168
1	"at1g02280"	885.059005	840.2076194	900.7142924	1014.057077	1138.068618	1011.069492	1190.563101
1	"at1g02300"	817.7133291	868.3494047	875.7789275	918.7255271	886.397008	844.5917949	775.7548812
1	"at1g02305"	14799.83492	19609.82421	6599.92923	5535.102828	4785.299795	3071.470155	3916.299786
1	"at1g02310"	1007.706728	735.5432319	659.8013115	817.1738661	646.1558046	720.3537824	1299.153747
